title,imdbRating,imdbVotes,tomatometer
14 Blades,6.3,"7,191",67%
16 Blocks,6.6,"123,100",56%
2307: Winter's Dream,3.8,"1,373",N/A
24 Hours to Live,5.7,"11,016",52%
25 Kille,5.8,79,N/A
"27, el club de los malditos",N/A,N/A,N/A
5 Cowok Jagoan,N/A,N/A,N/A
6 Days,6.2,"15,404",63%
6 Underground,6.2,"34,632",32%
9,7.1,"127,776",57%
A Flying Jatt,3.2,"3,125",43%
A Wednesday,8.1,"69,790",N/A
A.X.L.,6.9,26,N/A
Aakhri Adaalat,5.1,35,N/A
Abdo Mota,N/A,N/A,N/A
Act of Vengeance,5.5,606,N/A
Acts of Vengeance,5.7,"8,468",55%
Æon Flux,5.4,"120,094",9%
Aftershock,4.8,"10,716",39%
Aiyaary,5.2,"3,539",22%
Ali Baba ve 7 Cüceler,5.6,5,N/A
Alibaba Aur 40 Chor,6.2,432,N/A
Alien Warfare,2.5,"2,066",N/A
All the Devil's Men,5.0,"1,714",23%
American Heist,5.0,"15,747",13%
Angamaly Diaries,8.0,"3,330",N/A
Animal World,6.5,"2,718",67%
Anjaan,4.9,"3,409",N/A
Ant-Man and the Wasp,7.1,"268,549",88%
Antidote,7.2,"3,494",N/A
April and the Extraordinary World,7.3,"5,746",96%
Arès,6.3,14,N/A
Arjun: The Warrior Prince,6.8,"1,288",67%
Asoka,N/A,N/A,N/A
Asura: The City of Madness,6.6,"1,830",80%
Austin Powers in Goldmember,6.2,"187,476",54%
Austin Powers: The Spy Who Shagged Me,6.6,"207,552",52%
Avengement,6.5,"6,091",81%
Avengers: Infinity War,8.5,"725,561",85%
Baadshaho,4.9,"3,908",0%
Baaghi,5.2,"5,972",30%
Baahubali 2: The Conclusion (Hindi Version),N/A,N/A,N/A
Baahubali 2: The Conclusion (Malayalam Version),N/A,N/A,N/A
Baahubali 2: The Conclusion (Tamil Version),N/A,N/A,N/A
Baahubali: The Beginning (English Version),N/A,N/A,N/A
Baahubali: The Beginning (Hindi Version),N/A,N/A,N/A
Baahubali: The Beginning (Malayalam Version),N/A,N/A,N/A
Baahubali: The Beginning (Tamil Version),N/A,N/A,N/A
Backdraft 2,N/A,N/A,N/A
Bad Boys,6.9,"212,572",42%
Bad Boys II,6.6,"211,349",23%
Band of Robbers,6.0,"3,740",N/A
Bandie,5.8,9,N/A
Bang Rajan 2,5.5,156,N/A
Barely Lethal,5.4,"18,165",26%
Barsaat,5.3,"1,019",N/A
Battle Drone,5.7,"1,993",N/A
Bbuddah Hoga Terra Baap,5.6,"2,582",N/A
Beauty and the Bestie,4.9,246,N/A
Berserk: The Golden Age Arc I - The Egg of the King,7.6,"9,461",N/A
Berserk: The Golden Age Arc II - The Battle for Doldrey,7.8,"7,560",N/A
Berserk: The Golden Age Arc III - The Advent,7.9,"7,075",N/A
Beyond Skyline,5.3,"16,134",63%
Big Kill,5.2,662,22%
Bir Baba Hindu,3.4,"1,932",N/A
Bitcoin Heist,5.8,303,N/A
Black Hawk Down,7.7,"346,686",76%
Black Panther,7.3,"551,088",97%
Black Rose,3.8,"2,183",13%
Black Sea,6.4,"32,758",80%
Black Site Delta,3.8,845,N/A
BLAME!,6.7,"5,952",N/A
Bleach,6.4,"9,104",67%
Bleach The Movie: Fade to Black,N/A,N/A,N/A
Bleach the Movie: Hell Verse,7.4,"1,880",N/A
Blind Detective,6.5,"2,727",55%
Blood Diamond,8.0,"472,171",63%
Blood Money,4.4,"1,740",50%
Bon Cop Bad Cop 2,6.6,"3,369",71%
"Bon Cop, Bad Cop",6.8,"11,391",78%
Boom,2.3,"1,242",N/A
Boss,8.1,"16,593",N/A
Boyka: Undisputed,7.0,"22,845",N/A
Bright,6.4,"154,441",28%
Broken Sword Hero,N/A,N/A,N/A
Brotherhood of Blades II: The Infernal Battlefield,6.7,"1,352",N/A
Buffalo Boys,5.8,807,79%
Burn Out,6.1,"1,987",N/A
Bushwick,5.2,"8,154",46%
BuyBust,5.8,"1,345",81%
C Kkompany,5.5,866,N/A
Casino Tycoon,5.6,162,N/A
Casino Tycoon 2,N/A,N/A,N/A
Catwoman,3.3,"105,025",9%
Cave,4.2,"1,785",N/A
Chappie,6.8,"218,198",32%
Charlie's Angels,5.5,"167,745",68%
Charlie's Angels: Full Throttle,4.9,"115,040",42%
Chasing the Dragon,6.8,"3,086",50%
Chennai Express,6.0,"45,678",47%
China Salesman,3.0,"1,008",N/A
Cirque du Freak: The Vampire's Assistant,5.9,"41,546",38%
Clash of the Titans,5.8,"260,773",27%
Cleopatra Jones,5.9,"2,446",91%
Close,5.6,"17,089",N/A
Cloud Atlas,7.4,"331,728",66%
Code Name: The Cleaner,4.6,"10,927",4%
Company,8.0,"13,543",N/A
Connected,6.6,"1,785",N/A
Contract,4.2,213,N/A
"Crouching Tiger, Hidden Dragon",7.8,"242,542",97%
"Crouching Tiger, Hidden Dragon: Sword of Destiny",6.1,"16,287",20%
Daagdi Chaawl,N/A,N/A,N/A
Daemonium,6.8,53,N/A
