title,tomatometer,reviewCount
14 Blades,67%,12
16 Blocks,56%,162
2307: Winter's Dream,N/A,N/A
24 Hours to Live,52%,21
25 Kille,N/A,N/A
"27, el club de los malditos",100%,5
5 Cowok Jagoan,N/A,N/A
6 Days,63%,32
6 Underground,35%,60
9,N/A,N/A
A Flying Jatt,43%,7
A Wednesday,N/A,N/A
A.X.L.,27%,22
Aakhri Adaalat,N/A,N/A
Abdo Mota,N/A,N/A
Act of Vengeance,N/A,N/A
Acts of Vengeance,55%,11
Æon Flux,N/A,N/A
Aftershock,39%,54
Aiyaary,22%,9
Ali Baba ve 7 Cüceler,N/A,N/A
Alibaba Aur 40 Chor,N/A,N/A
Alien Warfare,N/A,N/A
All the Devil's Men,23%,13
American Heist,13%,16
Angamaly Diaries,N/A,N/A
Animal World,N/A,N/A
Anjaan,N/A,N/A
Ant-Man and the Wasp,88%,408
Antidote,N/A,N/A
April and the Extraordinary World,96%,56
Arès,N/A,N/A
Arjun: The Warrior Prince,67%,9
Asoka,100%,10
Asura: The City of Madness,80%,10
Austin Powers in Goldmember,54%,185
Austin Powers: The Spy Who Shagged Me,52%,87
Avengement,81%,16
Avengers: Infinity War,85%,451
Baadshaho,0%,8
Baaghi,N/A,N/A
Baahubali 2: The Conclusion (Hindi Version),N/A,N/A
Baahubali 2: The Conclusion (Malayalam Version),N/A,N/A
Baahubali 2: The Conclusion (Tamil Version),N/A,N/A
Baahubali: The Beginning (English Version),N/A,N/A
Baahubali: The Beginning (Hindi Version),N/A,N/A
Baahubali: The Beginning (Malayalam Version),N/A,N/A
Baahubali: The Beginning (Tamil Version),N/A,N/A
Backdraft 2,N/A,N/A
Bad Boys,N/A,N/A
Bad Boys II,23%,182
Band of Robbers,78%,27
Bandie,N/A,N/A
Bang Rajan 2,N/A,N/A
Barely Lethal,26%,35
Barsaat,N/A,N/A
Battle Drone,N/A,N/A
Bbuddah Hoga Terra Baap,N/A,N/A
Beauty and the Bestie,N/A,N/A
Berserk: The Golden Age Arc I - The Egg of the King,N/A,N/A
Berserk: The Golden Age Arc II - The Battle for Doldrey,N/A,N/A
Berserk: The Golden Age Arc III - The Advent,N/A,N/A
Beyond Skyline,63%,19
Big Kill,22%,9
Bir Baba Hindu,N/A,N/A
Bitcoin Heist,N/A,N/A
Black Hawk Down,76%,171
Black Panther,N/A,N/A
Black Rose,N/A,N/A
Black Sea,80%,135
